timestamp,contributor,consumer_resource_pair,genus,species,ecosystem,interaction_system,consumer_type,speed,speed_units,turning_interval,turning_interval_units,generation_time,generation_time_units,consumption_rate,consumption_rate_units,mortality_rate,mortality_rate_units,consumer_body_size,consumer_body_size_units,patch_duration,patch_duration_units,patch_length_scale,patch_length_scale_units,resource_density,resource_density_units,consumer_density,consumer_density_units,resource_body_size,resource_body_size_units,tsearch,tsearch_units,tconsumption,tconsumption_units
1/2/2019 13:35,Sam,Terns - Forage fishes,Sterna,hirundo,Marine,epipelagic,predator,11,m/s,10,minute,4,yr,40,fish/bird/d,0.08,yr^-1,133,g,6,hr,5,km,100,fish/m^2,0.05,bird/m^2,3,g,NA,NA,NA,NA
1/2/2019 15:48,Sam,Desert locust - Vegetation,Schistocerca,gregaria,Terrestrial,grassland,grazer,10,km/hr,12,hr,60,d,2,g/locust/d,NA,NA,2,g,6,mo,10,m,1000,kg/ha,60000000,locust/km^2,NA,NA,NA,NA,NA,NA
1/3/2019 10:27,Sam,Chimney swifts - Aerial plankton,Chaetura,pelagica,Arial,grassland,predator,11.3,m/s,2,s,2,yr,415,insect/bird/hr,0.2,yr^-1,13.5,cm,1,hr,25,km,0.001,insect/m^3,3.75E-06,bird/m^3,4,mm,NA,NA,NA,NA
1/3/2019 11:44,Alli,Tuna - Herring,Thunnus,thynnus,Marine,pelagic,predator,1.63,m/s,1.8,minute,14,yr,24.6,fish/tuna/d,0.14,yr^-1,237,kg,12,hr,33,km,10,fish/m^2,0.54,tuna/m^2,0.2,kg,NA,NA,NA,NA
1/3/2019 13:37,Alli,White sharks - Seals,Carcharodon,carcharias,Marine,pelagic,predator,1.34,m/s,3,minute,26,yr,0.027,seal/shark/d,0.18,yr^-1,4,m,5,mo,70,m,100,seal/km^2,0.08,shark/km^2,100,kg,NA,NA,NA,NA
1/8/2019 13:09,Tanya,Green crabs - Cockles,Carcinus,maenas,Marine,benthic,predator,0.54,cm/s,3.2,s,3,yr,6.5,cockle/crab/d,NA,NA,15,mm,2.5,mo,200,m,10000,cockle/m^2,25,crab/m^2,0.75,mm,NA,NA,NA,NA
1/8/2019 13:18,Tanya,Northern sea stars - Mussels,Asterias,vulgaris,Marine,benthic,predator,5,cm/minute,10,minute,2,yr,2,mussel/seastar/d,NA,NA,15,cm,7,yr,40,m,3000,mussel/m^2,5.5,seastar/m^2,3,cm,NA,NA,1,yr
1/8/2019 13:26,Tanya,Spider monkeys - Fruit trees,Ateles,geoffroyi,Terrestrial,tropical rain forest,grazer,NA,NA,NA,NA,6.5,yr,NA,NA,NA,NA,7.7,kg,7,d,NA,NA,NA,NA,NA,NA,2.5,cm,703,s,810,s
1/8/2019 13:33,Tanya,Murres - Zooplankton/fish,Uria,sp.,Marine,epipelagic,predator,20.9,m/s,90,minute,4,yr,700,fish/bird/d,0.13,yr^-1,0.9,kg,8,hr,55,km,75,fish/m^2,26,bird/km^2,2.5,cm,NA,NA,NA,NA
1/8/2019 13:42,Tanya,Bone worms - Whale falls,Osedax,sp.,Marine,benthic,detritovore,10,cm/s,NA,NA,2,mo,NA,NA,NA,NA,2,cm,1500,yr,10,km,NA,NA,10,worm/cm^2,13,m,NA,NA,10,yr
1/10/2019 17:05,Sam,Red knots - Molluscs,Calidris,canutus,Marine,intertidal,predator,20,m/s,50,s,2,yr,0.4,mg/bird/s,NA,NA,125,g,6,hr,10,km,2,g/m^2,0.0001,bird/m^2,1,mg,NA,NA,NA,NA
1/11/2019 7:57,Sam,Red knots - Molluscs,Calidris,canutus,Marine,intertidal,predator,20,m/s,50,s,2,yr,0.4,mg/bird/s,NA,NA,125,g,6,hr,1,km,1,g/m^2,0.0001,bird/m^2,5,mg,NA,NA,NA,NA
1/14/2019 10:34,Celia,Penguin - Fish school,Eudyptula,minor,Marine,pelagic,predator,1.1,m/s,NA,NA,2.5,yr,192.39,g/bird/d,0.25,yr^-1,1060,g,14,hr,250,m,18,kg/m^3,0.0001,bird/m^3,60,g,NA,NA,NA,NA
1/14/2019 15:17,Celia,Elk - Forest patch,Cervus,elaphus,Terrestrial,temperate,grazer,759,m/hr,NA,NA,5.7,yr,989,g/elk/d,0.05,yr^-1,175,kg,355,yr,427,m,245,g/m^2,0.625,elk/km^2,NA,NA,NA,NA,NA,NA
