timestamp,contributor,consumer_resource_pair,genus,species,ecosystem,interaction_system,consumer_type,speed,speed_units,turning_interval,turning_interval_units,generation_time,generation_time_units,consumption_rate,consumption_rate_units,mortality_rate,mortality_rate_units,consumer_body_size,consumer_body_size_units,consumer_body_mass,consumer_body_mass_units,patch_duration,patch_duration_units,patch_length_scale,patch_length_scale_units,resource_body_size,resource_body_size_units,resource_body_mass,resource_body_mass_units,resource_density,resource_density_units,consumer_density,consumer_density_units,tsearch,tsearch_units,tconsumption,tconsumption_units,tsearch_diff,tsearch_diff_units,tsearch_dir,tsearch_dir_units,treprod,treprod_units,Fr_diff,Fr_dir,Str,Le
1/2/2019 13:35,Sam,Terns - Forage fishes,Sterna,hirundo,Marine,epipelagic,predator,11,m s^-1,10,s,4,yr,40,fish bird^-1 d^-1,0.08,yr^-1,34.5,cm,133,g,21600,s,5e3,m,0.1,m,3,g,100,fish m^-2,0.05,bird m^-2,NA,NA,432e4,s,20661.15702479339,s,454.5454545454545,s,126144e3,s,1.04544,47.52,0.00017123287671232877,0.005
1/2/2019 15:48,Sam,Desert locust - Vegetation,Schistocerca,gregaria,Terrestrial,grassland,grazer,10,km hr^-1,2,s,60,d,2,g d^-1 locust^-1,NA,NA,50,mm,2,g,15552e3,s,10,m,0.35000000000000003,m,700,g,1e3,kg ha^-1,6e7,locust km^-2,NA,NA,72e3,s,6.48,s,3.6,s,5184e3,s,24e5,432e4,3,216
1/3/2019 10:27,Sam,Chimney swifts - Aerial plankton,Chaetura,pelagica,Arial,grassland,predator,11.3,m s^-1,2,s,2,yr,415,insect bird^-1 hr^-1,0.2,yr^-1,13.5,cm,23.5,g,3600,s,25e3,m,0.004,m,0.002,g,0.001,insect m^-3,375e-8,bird m^-3,NA,NA,2313.253012048193,s,2447333.385543112,s,2212.3893805309735,s,63072e3,s,0.0014709888,1.6272,57077625570776254e-21,1.55625
1/3/2019 11:44,Alli,Tuna - Herring,Thunnus,thynnus,Marine,pelagic,predator,1.63,m s^-1,1.8,minute,14,yr,24.6,fish d^-1 tuna^-1,0.14,yr^-1,215,cm,237e3,g,43200,s,33e3,m,0.3,m,200,g,10,fish m^-2,0.54,tuna m^-2,NA,NA,65040.65040650405,s,3795149.7359077623,s,20245.398773006138,s,441504e3,s,0.011382950082644628,2.1338181818181816,9784735812133073e-20,0.6642000000000001
1/3/2019 13:37,Alli,White sharks - Seals,Carcharodon,carcharias,Marine,pelagic,predator,1.34,m s^-1,30,s,26,yr,0.027,seal d^-1 shark^-1,0.18,yr^-1,4,m,6e5,g,300,s,70,m,1.92,m,1e5,g,100,seal km^-2,0.08,shark km^-2,NA,NA,4000000000.0000005,s,90.9630949728967,s,52.23880597014925,s,819936e3,s,3.298040816326531,5.742857142857143,3658822151972837e-22,75e-9
1/8/2019 13:09,Tanya,Green crabs - Cockles,Carcinus,maenas,Marine,benthic,predator,0.54,cm s^-1,3.2,s,3,yr,6.5,cockle crab^-1 d^-1,NA,NA,15,mm,1,g,648e4,s,200,m,75e-5,m,1e-4,g,1e4,cockle m^-2,25,crab m^-2,NA,NA,5316923.076923077,s,428669410.15089154,s,37037.03703703703,s,94608e3,s,0.015116544000000003,174.96000000000004,0.0684931506849315,1.21875
1/8/2019 13:18,Tanya,Northern sea stars - Mussels,Asterias,vulgaris,Marine,benthic,predator,5,cm minute^-1,10,minute,2,yr,2,mussel d^-1 seastar^-1,NA,NA,15,cm,60,g,220752e3,s,40,m,0.03,m,2.3,g,3e3,mussel m^-2,5.5,seastar m^-2,NA,NA,31536e3,s,384e4,s,48e3,s,63072e3,s,57.4875,4599,3.5,7
1/8/2019 13:26,Tanya,Spider monkeys - Fruit trees,Ateles,geoffroyi,Terrestrial,tropical rain forest,grazer,NA,NA,NA,NA,6.5,yr,NA,NA,NA,NA,47,cm,7700,g,604800,s,NA,NA,0.025,m,8,g,NA,NA,NA,NA,703,s,810,s,NA,NA,703,s,204984e3,s,NA,860.3129445234708,0.0029504741833508955,746.6666666666666
1/8/2019 13:33,Tanya,Murres - Zooplankton/fish,Uria,sp.,Marine,epipelagic,predator,20.9,m s^-1,1,minute,4,yr,700,fish bird^-1 d^-1,0.13,yr^-1,45,cm,900,g,28800,s,55e3,m,0.025,m,0.15,g,75,fish m^-2,26,bird km^-2,NA,NA,356043956.04395604,s,115420.1292705448,s,2631.5789473684213,s,126144e3,s,0.24952319999999997,10.943999999999999,0.00022831050228310502,8088888888888889e-20
1/8/2019 13:42,Tanya,Bone worms - Whale falls,Osedax,sp.,Marine,benthic,detritovore,10,cm s^-1,NA,NA,2,mo,NA,NA,NA,NA,2,cm,0.15,g,47304e6,s,1e4,m,13,m,3e7,g,NA,NA,10,worm cm^-2,NA,NA,31536e4,s,NA,NA,1e5,s,5184e3,s,NA,473040,9125,150
1/10/2019 17:05,Sam,Red knots - Molluscs,Calidris,canutus,Marine,intertidal,predator,20,m s^-1,40,s,2,yr,0.4,mg bird^-1 s^-1,NA,NA,24,cm,125,g,21600,s,1e4,m,0.007,m,0.09,g,2,g m^-2,1e-4,bird m^-2,NA,NA,49999999.99999999,s,6250,s,500,s,63072e3,s,3.456,43.2,0.00034246575342465754,0.00043200000000000004
1/11/2019 7:57,Sam,Red knots - Molluscs,Calidris,canutus,Marine,intertidal,predator,20,m s^-1,40,s,2,yr,0.4,mg bird^-1 s^-1,NA,NA,24,cm,125,g,21600,s,1e3,m,0.008,m,0.135,g,1,g m^-2,1e-4,bird m^-2,NA,NA,24999999.999999996,s,62.5,s,50,s,63072e3,s,345.6,432,0.00034246575342465754,0.0008640000000000001
1/14/2019 10:34,Celia,Penguin - Fish school,Eudyptula,minor,Marine,pelagic,predator,1.1,m s^-1,NA,NA,2.5,yr,192.39,g bird^-1 d^-1,0.25,yr^-1,43,cm,1060,g,50400,s,250,m,0.17,m,60,g,18,kg m^-3,1e-4,bird m^-3,NA,NA,80835802276.62561,s,NA,NA,227.27272727272725,s,7884e4,s,NA,221.76000000000002,0.0006392694063926941,6234861111111111e-22
