consumer_resource_pair,consumer_body_mass,ecosystem2,consumer_type2,patch_movement,patch_composition
Terns - Forage fishes,133,marine,predator,active,multiple
Desert locust - Vegetation,2,terrestrial,herbivore,stationary,?
Chimney swifts - Aerial plankton,23.5,terrestrial,predator,passive,multiple
Tuna - Herring,237000,marine,predator,active,multiple
White sharks - Seals,600000,marine,predator,active,multiple
Green crabs - Cockles,1,marine,predator,stationary,multiple
Northern sea stars - Mussels,60,marine,predator,stationary,multiple
Spider monkeys - Fruit trees,7700,terrestrial,herbivore,stationary,multiple
Murres - Zooplankton/fish,900,marine,predator,active,multiple
Bone worms - Whale falls,0.15,marine,detritovore,stationary,single
Red knots - Cockles,125,marine,predator,stationary,multiple
Red knots - Clams,125,marine,predator,stationary,multiple
Penguin - Fish school,1060,marine,predator,active,multiple
Elk - Forest patch,175000,terrestrial,herbivore,stationary,multiple
Fur seals - Pollock,120000,marine,predator,active,multiple
Dung beetle - Dung,6.1,terrestrial,detritovore,stationary,single
Caterpillar - Kale plants,0.135,terrestrial,herbivore,stationary,single
Eastern gray squirrel - Acorn,500,terrestrial,herbivore,stationary,multiple
Ctenophores - Copepods,10,marine,predator,passive,multiple
Copepods - Phytoplankton layers,5E-05,marine,herbivore,passive,multiple
Caddisfly - Periphyton,0.14,freshwater,herbivore,stationary,multiple
Fruit flies - Marula fruit,0.001,terrestrial,detritovore,stationary,single
Pisaster sea star- Mussels,192,marine,predator,stationary,multiple
Beaver - Maple tree,21000,terrestrial,herbivore,stationary,?
Killer whale - Chinook salmon,5000000,marine,predator,active,multiple
Beach mouse - Dune seeds,12.5,terrestrial,herbivore,stationary,multiple
Pseudoalteromonas - Nutrients,1E-11,marine,detritovore,passive,multiple
Wolf - Moose,42600,terrestrial,predator,active,multiple
Mongolian gazelle - Vegetation,28000,terrestrial,herbivore,stationary,multiple
Bosmina - Diatoms,2E-05,freshwater,herbivore,passive,multiple
Trout - Zooplankton,90,freshwater,predator,passive,multiple
Vibrio - Nutrients,1E-06,marine,detritovore,passive,multiple
Blue whale - Krill,90909000,marine,predator,active,multiple
