consumer_resource_pair,items_in_patch
Vibrio - Nutrients,Continuous
Pseudoalteromonas - Nutrients,Continuous
Bosmina - Diatoms,Multiple
Copepods - Phytoplankton layers,Multiple
Fruit flies - Marula fruit,Multiple
Caterpillar - Kale plants,Single
Caddisfly - Periphyton,Multiple
Bone worms - Whale falls,Single
Green crabs - Cockles,Multiple
Desert locust - Vegetation,Single
Dung beetle - Dung,Single
Ctenophores - Copepods,Multiple
Beach mouse - Dune seeds,Multiple
Chimney swifts - Aerial plankton,Multiple
Northern sea stars - Mussels,Multiple
Trout - Zooplankton,Multiple
Red knots - Cockles,Multiple
Red knots - Clams,Multiple
Terns - Forage fishes,Multiple
Pisaster sea star- Mussels,Multiple
Eastern gray squirrel - Acorn,Multiple
Murres - Zooplankton/fish,Multiple
Penguin - Fish school,Multiple
Spider monkeys - Fruit trees,Multiple
Beaver - Maple tree,Multiple
Mongolian gazelle - Vegetation,Multiple
Wolf-Caribou,Multiple
Fur seals - Pollock,Multiple
Elk - Forest patch,Multiple
Tuna - Herring,Multiple
White sharks - Seals,Multiple
Killer whale - Chinook salmon,Multiple
Blue whale - Krill,Multiple
